COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
3324,100,0,0,20,255,0
3328,100,0,0,20,255,0
3332,100,0,0,20,255,0
3336,100,0,0,20,255,0
3340,100,0,0,20,255,0
3344,100,0,0,20,255,0
3348,100,0,0,20,255,0
3352,100,0,0,20,255,0
3356,100,0,0,20,255,0
3360,100,0,0,20,255,0
3364,100,0,0,20,255,0
3368,100,0,0,20,255,0
3372,100,5,0,19,255,0
3376,100,3,0,19,255,0
3380,100,3,0,19,255,0
3384,100,-1,0,20,255,0
3388,100,0,0,20,255,0
3392,100,0,0,20,255,0
3396,100,0,0,20,255,0
3400,100,0,0,20,255,0
3404,100,0,0,20,255,0
3408,100,0,0,20,255,0
3412,100,0,0,20,255,0
3416,100,0,0,20,255,0
3420,100,0,0,20,255,0
3424,100,0,0,20,255,0
3428,100,0,0,20,255,0
3432,100,0,0,20,255,0
3436,100,0,0,20,255,0
3440,100,0,0,20,255,0
3444,100,0,0,20,255,0
3448,100,0,0,20,255,0
3452,100,0,0,20,255,0
3456,100,0,0,20,255,0
3460,100,0,0,20,255,0
3464,100,0,0,20,255,0
3468,100,0,0,20,255,0
3472,100,0,0,20,255,0
3476,100,0,0,20,255,0
3480,100,0,0,20,255,0
3484,100,0,0,20,255,0
3488,100,0,0,20,255,0
3492,100,0,0,20,255,0
3496,100,0,0,20,255,0
3500,100,0,0,20,255,0
3504,100,0,0,20,255,0
3508,100,0,0,20,255,0
3512,100,0,0,20,255,0
3516,100,0,0,20,255,0
3520,100,0,0,20,255,0
3524,100,0,0,20,255,0
3528,100,0,0,20,255,0
3532,100,0,0,20,255,0
3536,100,0,0,20,255,0
3540,100,0,0,20,255,0
3544,100,0,0,20,255,0
3548,100,0,0,20,255,0
3552,100,0,0,20,255,0
3556,100,0,0,20,255,0
